;date;state;confirmed;deaths;incidence;dincidence;rincidence;rdincidence
PR.623;3/12/2020;PR;6;0;6;0;1;#N/D
PR.624;3/13/2020;PR;6;0;0;0;0;#N/D
PR.625;3/16/2020;PR;6;0;0;0;0;#N/D
PR.626;3/17/2020;PR;12;0;6;0;0,5;#N/D
PR.627;3/18/2020;PR;14;0;2;0;0,142857143;#N/D
PR.628;3/19/2020;PR;23;0;9;0;0,391304348;#N/D
PR.629;3/20/2020;PR;36;0;13;0;0,361111111;#N/D
PR.630;3/21/2020;PR;43;0;7;0;0,162790698;#N/D
PR.631;3/22/2020;PR;54;0;11;0;0,203703704;#N/D
PR.632;3/23/2020;PR;60;0;6;0;0,1;#N/D
PR.633;3/24/2020;PR;70;0;10;0;0,142857143;#N/D
PR.634;3/25/2020;PR;97;0;27;0;0,278350515;#N/D
PR.635;3/26/2020;PR;106;0;9;0;0,08490566;#N/D
PR.636;3/27/2020;PR;125;2;19;2;0,152;1
PR.637;3/28/2020;PR;137;2;12;0;0,087591241;0
PR.638;3/29/2020;PR;152;2;15;0;0,098684211;0
PR.639;3/30/2020;PR;160;3;8;1;0,05;0,333333333
PR.640;3/31/2020;PR;185;3;25;0;0,135135135;0
PR.641;4/1/2020;PR;229;3;44;0;0,192139738;0
PR.642;4/2/2020;PR;258;4;29;1;0,112403101;0,25
PR.643;4/3/2020;PR;307;5;49;1;0,159609121;0,2
PR.644;4/4/2020;PR;401;7;94;2;0,234413965;0,285714286
PR.645;4/5/2020;PR;445;10;44;3;0,098876404;0,3
PR.646;4/6/2020;PR;466;14;21;4;0,045064378;0,285714286
PR.647;4/7/2020;PR;511;15;45;1;0,088062622;0,066666667
PR.648;4/8/2020;PR;550;17;39;2;0,070909091;0,117647059
PR.649;4/9/2020;PR;621;24;71;7;0,114331723;0,291666667
PR.650;4/10/2020;PR;655;26;34;2;0,051908397;0,076923077
PR.651;4/11/2020;PR;688;27;33;1;0,047965116;0,037037037
PR.652;4/12/2020;PR;750;31;62;4;0,082666667;0,129032258
PR.653;4/13/2020;PR;768;33;18;2;0,0234375;0,060606061
PR.654;4/14/2020;PR;803;39;35;6;0,04358655;0,153846154
PR.655;4/15/2020;PR;816;41;13;2;0,015931373;0,048780488
PR.656;4/16/2020;PR;845;43;29;2;0,034319527;0,046511628
PR.657;4/17/2020;PR;887;44;42;1;0,04735062;0,022727273
PR.658;4/18/2020;PR;960;49;73;5;0,076041667;0,102040816
SC.824;3/12/2020;SC;2;0;2;0;1;#N/D
SC.825;3/13/2020;SC;3;0;1;0;0,333333333;#N/D
SC.826;3/14/2020;SC;5;0;2;0;0,4;#N/D
SC.827;3/15/2020;SC;6;0;1;0;0,166666667;#N/D
SC.828;3/16/2020;SC;7;0;1;0;0,142857143;#N/D
SC.829;3/17/2020;SC;7;0;0;0;0;#N/D
SC.830;3/18/2020;SC;14;0;7;0;0,5;#N/D
SC.831;3/19/2020;SC;21;0;7;0;0,333333333;#N/D
SC.832;3/20/2020;SC;40;0;19;0;0,475;#N/D
SC.833;3/21/2020;SC;57;0;17;0;0,298245614;#N/D
SC.834;3/22/2020;SC;68;0;11;0;0,161764706;#N/D
SC.835;3/23/2020;SC;86;0;18;0;0,209302326;#N/D
SC.836;3/24/2020;SC;109;0;23;0;0,211009174;#N/D
SC.837;3/25/2020;SC;122;0;13;0;0,106557377;#N/D
SC.838;3/26/2020;SC;149;1;27;1;0,181208054;1
SC.839;3/27/2020;SC;163;1;14;0;0,085889571;0
SC.840;3/28/2020;SC;184;1;21;0;0,114130435;0
SC.841;3/29/2020;SC;197;1;13;0;0,065989848;0
SC.842;3/30/2020;SC;219;2;22;1;0,100456621;0,5
SC.843;3/31/2020;SC;235;2;16;0;0,068085106;0
SC.844;4/1/2020;SC;247;2;12;0;0,048582996;0
SC.845;4/2/2020;SC;281;5;34;3;0,120996441;0,6
SC.846;4/3/2020;SC;301;5;20;0;0,066445183;0
SC.847;4/4/2020;SC;356;10;55;5;0,154494382;0,5
SC.848;4/5/2020;SC;379;10;23;0;0,060686016;0
SC.849;4/6/2020;SC;417;11;38;1;0,091127098;0,090909091
SC.850;4/7/2020;SC;457;15;40;4;0,087527352;0,266666667
SC.851;4/8/2020;SC;501;17;44;2;0,087824351;0,117647059
SC.852;4/9/2020;SC;693;18;192;1;0,277056277;0,055555556
SC.853;4/10/2020;SC;717;18;24;0;0,033472803;0
SC.854;4/11/2020;SC;732;21;15;3;0,020491803;0,142857143
SC.855;4/12/2020;SC;776;24;44;3;0,056701031;0,125
SC.856;4/13/2020;SC;826;26;50;2;0,060532688;0,076923077
SC.857;4/14/2020;SC;853;28;27;2;0,031652989;0,071428571
SC.858;4/15/2020;SC;884;29;31;1;0,035067873;0,034482759
SC.859;4/16/2020;SC;926;30;42;1;0,045356371;0,033333333
SC.860;4/17/2020;SC;962;31;36;1;0,037422037;0,032258065
SC.861;4/18/2020;SC;975;32;13;1;0,013333333;0,03125
SC.862;4/19/2020;SC;1025;35;50;3;0,048780488;0,085714286
RS.786;3/10/2020;RS;1;0;1;0;1;#N/D
RS.787;3/11/2020;RS;2;0;1;0;0,5;#N/D
RS.788;3/12/2020;RS;4;0;2;0;0,5;#N/D
RS.789;3/13/2020;RS;4;0;0;0;0;#N/D
RS.790;3/16/2020;RS;8;0;4;0;0,5;#N/D
RS.791;3/18/2020;RS;19;0;11;0;0,578947368;#N/D
RS.792;3/19/2020;RS;31;0;12;0;0,387096774;#N/D
RS.793;3/20/2020;RS;43;0;12;0;0,279069767;#N/D
RS.794;3/21/2020;RS;69;0;26;0;0,376811594;#N/D
RS.795;3/22/2020;RS;77;0;8;0;0,103896104;#N/D
RS.796;3/23/2020;RS;96;0;19;0;0,197916667;#N/D
RS.797;3/24/2020;RS;112;0;16;0;0,142857143;#N/D
RS.798;3/25/2020;RS;162;1;50;1;0,308641975;1
RS.799;3/26/2020;RS;190;1;28;0;0,147368421;0
RS.800;3/27/2020;RS;197;2;7;1;0,035532995;0,5
RS.801;3/28/2020;RS;200;2;3;0;0,015;0
RS.802;3/29/2020;RS;230;2;30;0;0,130434783;0
RS.803;3/30/2020;RS;254;4;24;2;0,094488189;0,5
RS.804;3/31/2020;RS;305;4;51;0;0,167213115;0
RS.805;4/1/2020;RS;316;5;11;1;0,034810127;0,2
RS.806;4/2/2020;RS;386;5;70;0;0,18134715;0
RS.807;4/3/2020;RS;410;6;24;1;0,058536585;0,166666667
RS.808;4/4/2020;RS;418;7;8;1;0,019138756;0,142857143
RS.809;4/5/2020;RS;468;7;50;0;0,106837607;0
RS.810;4/6/2020;RS;501;8;33;1;0,065868263;0,125
RS.811;4/7/2020;RS;555;8;54;0;0,097297297;0
RS.812;4/8/2020;RS;581;10;26;2;0,04475043;0,2
RS.813;4/9/2020;RS;636;14;55;4;0,086477987;0,285714286
RS.814;4/10/2020;RS;640;15;4;1;0,00625;0,066666667
RS.815;4/11/2020;RS;653;16;13;1;0,019908116;0,0625
RS.816;4/12/2020;RS;664;16;11;0;0,016566265;0
RS.817;4/13/2020;RS;685;17;21;1;0,030656934;0,058823529
RS.818;4/14/2020;RS;720;18;35;1;0,048611111;0,055555556
RS.819;4/15/2020;RS;762;19;42;1;0,05511811;0,052631579
RS.820;4/16/2020;RS;792;21;30;2;0,037878788;0,095238095
RS.821;4/17/2020;RS;831;24;39;3;0,046931408;0,125
RS.822;4/18/2020;RS;854;24;23;0;0,026932084;0
RS.823;4/19/2020;RS;869;26;15;2;0,01726122;0,076923077
SP.890;2/25/2020;SP;1;0;1;0;1;#N/D
SP.891;2/26/2020;SP;1;0;0;0;0;#N/D
SP.892;2/27/2020;SP;1;0;0;0;0;#N/D
SP.893;2/28/2020;SP;2;0;1;0;0,5;#N/D
SP.894;2/29/2020;SP;2;0;0;0;0;#N/D
SP.895;3/1/2020;SP;2;0;0;0;0;#N/D
SP.896;3/2/2020;SP;2;0;0;0;0;#N/D
SP.897;3/3/2020;SP;2;0;0;0;0;#N/D
SP.898;3/4/2020;SP;3;0;1;0;0,333333333;#N/D
SP.899;3/5/2020;SP;6;0;3;0;0,5;#N/D
SP.900;3/6/2020;SP;10;0;4;0;0,4;#N/D
SP.901;3/7/2020;SP;13;0;3;0;0,230769231;#N/D
SP.902;3/8/2020;SP;16;0;3;0;0,1875;#N/D
SP.903;3/9/2020;SP;16;0;0;0;0;#N/D
SP.904;3/10/2020;SP;19;0;3;0;0,157894737;#N/D
SP.905;3/11/2020;SP;30;0;11;0;0,366666667;#N/D
SP.906;3/12/2020;SP;46;0;16;0;0,347826087;#N/D
SP.907;3/14/2020;SP;65;0;19;0;0,292307692;#N/D
SP.908;3/16/2020;SP;152;0;87;0;0,572368421;#N/D
SP.909;3/17/2020;SP;164;1;12;1;0,073170732;1
SP.910;3/18/2020;SP;240;3;76;2;0,316666667;0,666666667
SP.911;3/19/2020;SP;286;5;46;2;0,160839161;0,4
SP.912;3/20/2020;SP;396;9;110;4;0,277777778;0,444444444
SP.913;3/21/2020;SP;396;15;0;6;0;0,4
SP.914;3/22/2020;SP;631;22;235;7;0,372424723;0,318181818
SP.915;3/23/2020;SP;745;30;114;8;0,153020134;0,266666667
SP.916;3/24/2020;SP;810;40;65;10;0,080246914;0,25
SP.917;3/25/2020;SP;862;48;52;8;0,060324826;0,166666667
SP.918;3/26/2020;SP;1052;58;190;10;0,180608365;0,172413793
SP.919;3/27/2020;SP;1223;68;171;10;0,139820114;0,147058824
SP.920;3/28/2020;SP;1406;84;183;16;0,130156472;0,19047619
SP.921;3/29/2020;SP;1451;98;45;14;0,031013094;0,142857143
SP.922;3/30/2020;SP;1517;113;66;15;0,043506922;0,132743363
SP.923;3/31/2020;SP;2339;136;822;23;0,351432236;0,169117647
SP.924;4/1/2020;SP;2981;164;642;28;0,215363972;0,170731707
SP.925;4/2/2020;SP;3506;188;525;24;0,149743297;0,127659574
SP.926;4/3/2020;SP;4048;219;542;31;0,133893281;0,141552511
SP.927;4/4/2020;SP;4466;260;418;41;0,093596059;0,157692308
SP.928;4/5/2020;SP;4620;275;154;15;0,033333333;0,054545455
SP.929;4/6/2020;SP;4866;304;246;29;0,050554871;0,095394737
SP.930;4/7/2020;SP;5682;371;816;67;0,143611404;0,180592992
SP.931;4/8/2020;SP;6708;428;1026;57;0,152951699;0,13317757
SP.932;4/9/2020;SP;7480;496;772;68;0,103208556;0,137096774
SP.933;4/10/2020;SP;8216;540;736;44;0,089581305;0,081481481
SP.934;4/11/2020;SP;8419;560;203;20;0,024112127;0,035714286
SP.935;4/12/2020;SP;8755;588;336;28;0,03837807;0,047619048
SP.936;4/13/2020;SP;8895;608;140;20;0,015739179;0,032894737
SP.937;4/14/2020;SP;9371;695;476;87;0,050795006;0,125179856
SP.938;4/15/2020;SP;11043;778;1672;83;0,151408132;0,106683805
SP.939;4/16/2020;SP;11568;853;525;75;0,045383817;0,087924971
SP.940;4/17/2020;SP;12841;928;1273;75;0,099135581;0,080818966
SP.941;4/18/2020;SP;13894;991;1053;63;0,07578811;0,063572149
SP.942;4/19/2020;SP;14267;1015;373;24;0,026144249;0,02364532
RJ.659;3/5/2020;RJ;1;0;1;0;1;#N/D
RJ.660;3/6/2020;RJ;2;0;1;0;0,5;#N/D
RJ.661;3/8/2020;RJ;3;0;1;0;0,333333333;#N/D
RJ.662;3/12/2020;RJ;15;0;12;0;0,8;#N/D
RJ.663;3/15/2020;RJ;24;0;9;0;0,375;#N/D
RJ.664;3/16/2020;RJ;25;0;1;0;0,04;#N/D
RJ.665;3/18/2020;RJ;63;0;38;0;0,603174603;#N/D
RJ.666;3/19/2020;RJ;66;2;3;2;0,045454545;1
RJ.667;3/21/2020;RJ;119;3;53;1;0,445378151;0,333333333
RJ.668;3/22/2020;RJ;186;3;67;0;0,360215054;0
RJ.669;3/23/2020;RJ;233;4;47;1;0,201716738;0,25
RJ.670;3/24/2020;RJ;305;6;72;2;0,236065574;0,333333333
RJ.671;3/25/2020;RJ;370;8;65;2;0,175675676;0,25
RJ.672;3/26/2020;RJ;421;9;51;1;0,121140143;0,111111111
RJ.673;3/27/2020;RJ;493;10;72;1;0,146044625;0,1
RJ.674;3/28/2020;RJ;558;13;65;3;0,116487455;0,230769231
RJ.675;3/29/2020;RJ;600;17;42;4;0,07;0,235294118
