"date","state","confirmed","deaths"
2020-03-17,"AC",3,0
2020-03-18,"AC",3,0
2020-03-19,"AC",4,0
2020-03-20,"AC",7,0
2020-03-21,"AC",11,0
2020-03-22,"AC",11,0
2020-03-23,"AC",17,0
2020-03-24,"AC",21,0
2020-03-25,"AC",23,0
2020-03-26,"AC",23,0
2020-03-27,"AC",25,0
2020-03-28,"AC",25,0
2020-03-29,"AC",34,0
2020-03-30,"AC",41,0
2020-03-31,"AC",42,0
2020-04-01,"AC",43,0
2020-04-02,"AC",45,0
2020-04-03,"AC",46,0
2020-04-04,"AC",46,0
2020-04-05,"AC",48,0
2020-04-06,"AC",50,1
2020-04-07,"AC",50,2
2020-04-08,"AC",58,2
2020-04-09,"AC",62,2
2020-04-10,"AC",70,2
2020-04-11,"AC",72,2
2020-04-12,"AC",77,2
2020-04-13,"AC",90,3
2020-04-14,"AC",99,3
2020-04-15,"AC",101,4
2020-04-16,"AC",115,5
2020-04-17,"AC",135,5
2020-04-18,"AC",142,6
2020-03-08,"AL",1,0
2020-03-09,"AL",1,0
2020-03-10,"AL",1,0
2020-03-12,"AL",1,0
2020-03-13,"AL",1,0
2020-03-16,"AL",1,0
2020-03-17,"AL",1,0
2020-03-18,"AL",1,0
2020-03-19,"AL",4,0
2020-03-20,"AL",6,0
2020-03-21,"AL",7,0
2020-03-22,"AL",7,0
2020-03-23,"AL",8,0
2020-03-24,"AL",10,0
2020-03-25,"AL",11,0
2020-03-26,"AL",11,0
2020-03-27,"AL",12,0
2020-03-28,"AL",14,0
2020-03-29,"AL",17,0
2020-03-30,"AL",17,0
2020-03-31,"AL",18,1
2020-04-01,"AL",18,1
2020-04-02,"AL",18,1
2020-04-03,"AL",23,2
2020-04-04,"AL",23,2
2020-04-05,"AL",28,2
2020-04-06,"AL",31,2
2020-04-07,"AL",34,2
2020-04-08,"AL",37,3
2020-04-09,"AL",37,3
2020-04-10,"AL",45,3
2020-04-11,"AL",48,3
2020-04-12,"AL",48,3
2020-04-13,"AL",58,4
2020-04-14,"AL",72,4
2020-04-15,"AL",83,5
2020-04-16,"AL",89,5
2020-04-17,"AL",110,7
2020-04-18,"AL",132,10
2020-03-13,"AM",2,0
2020-03-18,"AM",2,0
2020-03-19,"AM",3,0
2020-03-20,"AM",7,0
2020-03-21,"AM",11,0
2020-03-22,"AM",26,0
2020-03-23,"AM",32,0
2020-03-24,"AM",47,1
2020-03-25,"AM",54,1
2020-03-26,"AM",67,1
2020-03-27,"AM",81,1
2020-03-28,"AM",111,1
2020-03-29,"AM",140,1
2020-03-30,"AM",151,2
2020-03-31,"AM",175,3
2020-04-01,"AM",200,3
2020-04-02,"AM",229,3
2020-04-03,"AM",260,7
2020-04-04,"AM",311,12
2020-04-05,"AM",417,15
2020-04-06,"AM",532,19
2020-04-07,"AM",636,23
2020-04-08,"AM",804,30
2020-04-09,"AM",899,40
2020-04-10,"AM",981,50
2020-04-11,"AM",1049,53
2020-04-12,"AM",1206,62
2020-04-13,"AM",1275,71
2020-04-14,"AM",1484,90
2020-04-15,"AM",1554,106
2020-04-16,"AM",1719,124
2020-04-17,"AM",1809,145
2020-04-18,"AM",1897,161
2020-03-20,"AP",1,0
2020-03-21,"AP",1,0
2020-03-22,"AP",1,0
2020-03-23,"AP",1,0
2020-03-24,"AP",1,0
2020-03-25,"AP",2,0
2020-03-26,"AP",2,0
2020-03-27,"AP",3,0
2020-03-28,"AP",4,0
2020-03-29,"AP",8,0
2020-03-30,"AP",8,0
2020-03-31,"AP",10,0
2020-04-01,"AP",11,0
2020-04-02,"AP",12,0
2020-04-03,"AP",19,0
2020-04-04,"AP",29,1
2020-04-05,"AP",32,1
2020-04-06,"AP",39,2
2020-04-07,"AP",51,2
2020-04-08,"AP",107,2
2020-04-09,"AP",110,2
2020-04-10,"AP",166,2
2020-04-11,"AP",193,5
2020-04-12,"AP",237,5
2020-04-13,"AP",244,6
2020-04-14,"AP",308,7
2020-04-15,"AP",342,7
2020-04-16,"AP",362,10
2020-04-17,"AP",375,10
2020-04-18,"AP",400,10
2020-03-06,"BA",1,0
2020-03-07,"BA",2,0
2020-03-09,"BA",2,0
2020-03-10,"BA",2,0
2020-03-11,"BA",3,0
2020-03-12,"BA",3,0
2020-03-13,"BA",7,0
2020-03-15,"BA",9,0
2020-03-16,"BA",10,0
2020-03-17,"BA",14,0
2020-03-18,"BA",27,0
2020-03-19,"BA",31,0
2020-03-20,"BA",34,0
2020-03-21,"BA",41,0
2020-03-22,"BA",55,0
2020-03-23,"BA",63,0
2020-03-24,"BA",79,0
2020-03-25,"BA",91,0
2020-03-26,"BA",108,0
2020-03-27,"BA",123,0
2020-03-28,"BA",127,0
2020-03-29,"BA",156,1
2020-03-30,"BA",176,2
2020-03-31,"BA",217,2
2020-04-01,"BA",246,2
2020-04-02,"BA",267,3
2020-04-03,"BA",290,6
2020-04-04,"BA",336,7
2020-04-05,"BA",401,9
2020-04-06,"BA",437,10
2020-04-07,"BA",462,14
2020-04-08,"BA",515,18
2020-04-09,"BA",568,19
2020-04-10,"BA",616,19
2020-04-11,"BA",640,21
2020-04-12,"BA",674,21
2020-04-13,"BA",723,22
2020-04-14,"BA",776,26
2020-04-15,"BA",884,28
2020-04-16,"BA",967,34
2020-04-17,"BA",1064,36
2020-04-18,"BA",1200,40
2020-03-16,"CE",9,0
2020-03-17,"CE",10,0
2020-03-18,"CE",19,0
2020-03-19,"CE",24,0
2020-03-20,"CE",68,0
2020-03-21,"CE",84,0
2020-03-22,"CE",125,0
2020-03-23,"CE",164,0
2020-03-24,"CE",185,0
2020-03-25,"CE",211,0
2020-03-26,"CE",237,3
2020-03-27,"CE",282,3
2020-03-28,"CE",322,4
2020-03-29,"CE",359,5
2020-03-30,"CE",382,5
2020-03-31,"CE",401,7
2020-04-01,"CE",445,9
2020-04-02,"CE",563,21
2020-04-03,"CE",658,22
2020-04-04,"CE",745,23
2020-04-05,"CE",960,35
2020-04-06,"CE",1045,35
2020-04-07,"CE",1188,40
2020-04-08,"CE",1394,57
2020-04-09,"CE",1445,57
2020-04-10,"CE",1558,67
2020-04-11,"CE",1668,74
2020-04-12,"CE",1747,76
2020-04-13,"CE",1935,101
2020-04-14,"CE",2070,111
2020-04-15,"CE",2291,124
2020-04-16,"CE",2412,135
2020-04-17,"CE",2747,155
2020-04-18,"CE",3062,180
2020-03-07,"DF",1,0
2020-03-08,"DF",1,0
2020-03-09,"DF",1,0
2020-03-10,"DF",1,0
2020-03-11,"DF",2,0
